cat_id,id_path,nombre,nivel,padre_id,padre_nombre,ruta_completa,tiene_hijos
2,/2/,Bebidas,1,,(raiz),Bebidas,True
6,/2/6/,Aguas,2,2.0,Bebidas,Bebidas > Aguas,True
950,/2/6/950/,Agua de Mesa,3,6.0,Bebidas > Aguas,Bebidas > Aguas > Agua de Mesa,False
951,/2/6/951/,Agua Mineral,3,6.0,Bebidas > Aguas,Bebidas > Aguas > Agua Mineral,False
952,/2/6/952/,Agua Tónica,3,6.0,Bebidas > Aguas,Bebidas > Aguas > Agua Tónica,False
953,/2/6/953/,Agua Saborizada,3,6.0,Bebidas > Aguas,Bebidas > Aguas > Agua Saborizada,False
7,/2/7/,Gaseosas,2,2.0,Bebidas,Bebidas > Gaseosas,True
1652,/2/7/1652/,Gaseosas Familiares,3,7.0,Bebidas > Gaseosas,Bebidas > Gaseosas > Gaseosas Familiares,False
1653,/2/7/1653/,Gaseosas Personales,3,7.0,Bebidas > Gaseosas,Bebidas > Gaseosas > Gaseosas Personales,False
1654,/2/7/1654/,Ginger Ale,3,7.0,Bebidas > Gaseosas,Bebidas > Gaseosas > Ginger Ale,False
8,/2/8/,Jugos y Otras Bebidas,2,2.0,Bebidas,Bebidas > Jugos y Otras Bebidas,True
13,/2/8/13/,Té Bebible,3,8.0,Bebidas > Jugos y Otras Bebidas,Bebidas > Jugos y Otras Bebidas > Té Bebible,False
965,/2/8/965/,Jugos y Néctares,3,8.0,Bebidas > Jugos y Otras Bebidas,Bebidas > Jugos y Otras Bebidas > Jugos y Néctares,False
966,/2/8/966/,Bebidas Refrescantes,3,8.0,Bebidas > Jugos y Otras Bebidas,Bebidas > Jugos y Otras Bebidas > Bebidas Refrescantes,False
967,/2/8/967/,Refrescos Instantáneos,3,8.0,Bebidas > Jugos y Otras Bebidas,Bebidas > Jugos y Otras Bebidas > Refrescos Instantáneos,False
646,/2/646/,Bebidas Funcionales,2,2.0,Bebidas,Bebidas > Bebidas Funcionales,True
10,/2/646/10/,Bebidas Rehidratantes,3,646.0,Bebidas > Bebidas Funcionales,Bebidas > Bebidas Funcionales > Bebidas Rehidratantes,False
11,/2/646/11/,Bebidas Energizantes,3,646.0,Bebidas > Bebidas Funcionales,Bebidas > Bebidas Funcionales > Bebidas Energizantes,False
12,/2/646/12/,Bebidas Nutricionales,3,646.0,Bebidas > Bebidas Funcionales,Bebidas > Bebidas Funcionales > Bebidas Nutricionales,False
297,/297/,Cuidado Personal y Salud,1,,(raiz),Cuidado Personal y Salud,True
298,/297/298/,Cuidado del Cabello,2,297.0,Cuidado Personal y Salud,Cuidado Personal y Salud > Cuidado del Cabello,True
308,/297/298/308/,Shampoo,3,298.0,Cuidado Personal y Salud > Cuidado del Cabello,Cuidado Personal y Salud > Cuidado del Cabello > Shampoo,False
309,/297/298/309/,Acondicionador,3,298.0,Cuidado Personal y Salud > Cuidado del Cabello,Cuidado Personal y Salud > Cuidado del Cabello > Acondicionador,False
310,/297/298/310/,Tratamientos para Cabello,3,298.0,Cuidado Personal y Salud > Cuidado del Cabello,Cuidado Personal y Salud > Cuidado del Cabello > Tratamientos para Cabello,False
311,/297/298/311/,Gel de Cabello y Estilizadores,3,298.0,Cuidado Personal y Salud > Cuidado del Cabello,Cuidado Personal y Salud > Cuidado del Cabello > Gel de Cabello y Estilizadores,False
312,/297/298/312/,Tintes para Cabello,3,298.0,Cuidado Personal y Salud > Cuidado del Cabello,Cuidado Personal y Salud > Cuidado del Cabello > Tintes para Cabello,False
313,/297/298/313/,Accesorios para Cabello,3,298.0,Cuidado Personal y Salud > Cuidado del Cabello,Cuidado Personal y Salud > Cuidado del Cabello > Accesorios para Cabello,False
1062,/297/298/1062/,Cremas para Peinar,3,298.0,Cuidado Personal y Salud > Cuidado del Cabello,Cuidado Personal y Salud > Cuidado del Cabello > Cremas para Peinar,False
300,/297/300/,Cuidado Bucal,2,297.0,Cuidado Personal y Salud,Cuidado Personal y Salud > Cuidado Bucal,True
318,/297/300/318/,Cepillos de Dientes,3,300.0,Cuidado Personal y Salud > Cuidado Bucal,Cuidado Personal y Salud > Cuidado Bucal > Cepillos de Dientes,False
319,/297/300/319/,Pastas Dentales,3,300.0,Cuidado Personal y Salud > Cuidado Bucal,Cuidado Personal y Salud > Cuidado Bucal > Pastas Dentales,False
320,/297/300/320/,Enjuagues Bucales,3,300.0,Cuidado Personal y Salud > Cuidado Bucal,Cuidado Personal y Salud > Cuidado Bucal > Enjuagues Bucales,False
321,/297/300/321/,Hilos Dentales y Otros,3,300.0,Cuidado Personal y Salud > Cuidado Bucal,Cuidado Personal y Salud > Cuidado Bucal > Hilos Dentales y Otros,False
301,/297/301/,Afeitado,2,297.0,Cuidado Personal y Salud,Cuidado Personal y Salud > Afeitado,True
317,/297/301/317/,Cuidado de la Barba,3,301.0,Cuidado Personal y Salud > Afeitado,Cuidado Personal y Salud > Afeitado > Cuidado de la Barba,False
322,/297/301/322/,Máquinas de Afeitar y Repuestos,3,301.0,Cuidado Personal y Salud > Afeitado,Cuidado Personal y Salud > Afeitado > Máquinas de Afeitar y Repuestos,False
324,/297/301/324/,Espumas y Gel de Afeitar,3,301.0,Cuidado Personal y Salud > Afeitado,Cuidado Personal y Salud > Afeitado > Espumas y Gel de Afeitar,False
325,/297/301/325/,Lociones y Bálsamos de Afeitar,3,301.0,Cuidado Personal y Salud > Afeitado,Cuidado Personal y Salud > Afeitado > Lociones y Bálsamos de Afeitar,False
303,/297/303/,Higiene Personal,2,297.0,Cuidado Personal y Salud,Cuidado Personal y Salud > Higiene Personal,True
330,/297/303/330/,Gel de Ducha y Accesorios,3,303.0,Cuidado Personal y Salud > Higiene Personal,Cuidado Personal y Salud > Higiene Personal > Gel de Ducha y Accesorios,False
332,/297/303/332/,Gel Antibacterial,3,303.0,Cuidado Personal y Salud > Higiene Personal,Cuidado Personal y Salud > Higiene Personal > Gel Antibacterial,False
334,/297/303/334/,Desodorantes para Hombre,3,303.0,Cuidado Personal y Salud > Higiene Personal,Cuidado Personal y Salud > Higiene Personal > Desodorantes para Hombre,False
335,/297/303/335/,Colonias,3,303.0,Cuidado Personal y Salud > Higiene Personal,Cuidado Personal y Salud > Higiene Personal > Colonias,False
336,/297/303/336/,Talcos y Desodorantes para Pies,3,303.0,Cuidado Personal y Salud > Higiene Personal,Cuidado Personal y Salud > Higiene Personal > Talcos y Desodorantes para Pies,False
1063,/297/303/1063/,Hisopos,3,303.0,Cuidado Personal y Salud > Higiene Personal,Cuidado Personal y Salud > Higiene Personal > Hisopos,False
1275,/297/303/1275/,Jabones Líquidos,3,303.0,Cuidado Personal y Salud > Higiene Personal,Cuidado Personal y Salud > Higiene Personal > Jabones Líquidos,False
1276,/297/303/1276/,Jabones en Barra,3,303.0,Cuidado Personal y Salud > Higiene Personal,Cuidado Personal y Salud > Higiene Personal > Jabones en Barra,False
1277,/297/303/1277/,Desodorantes para Mujer,3,303.0,Cuidado Personal y Salud > Higiene Personal,Cuidado Personal y Salud > Higiene Personal > Desodorantes para Mujer,False
305,/297/305/,Protección Femenina,2,297.0,Cuidado Personal y Salud,Cuidado Personal y Salud > Protección Femenina,True
337,/297/305/337/,Toallas Higiénicas,3,305.0,Cuidado Personal y Salud > Protección Femenina,Cuidado Personal y Salud > Protección Femenina > Toallas Higiénicas,False
338,/297/305/338/,Protectores Diarios,3,305.0,Cuidado Personal y Salud > Protección Femenina,Cuidado Personal y Salud > Protección Femenina > Protectores Diarios,False
339,/297/305/339/,Jabones Íntimos,3,305.0,Cuidado Personal y Salud > Protección Femenina,Cuidado Personal y Salud > Protección Femenina > Jabones Íntimos,False
1278,/297/305/1278/,Tampones,3,305.0,Cuidado Personal y Salud > Protección Femenina,Cuidado Personal y Salud > Protección Femenina > Tampones,False
2600,/297/305/2600/,Pañitos Húmedos,3,305.0,Cuidado Personal y Salud > Protección Femenina,Cuidado Personal y Salud > Protección Femenina > Pañitos Húmedos,False
306,/297/306/,Protección Adulta,2,297.0,Cuidado Personal y Salud,Cuidado Personal y Salud > Protección Adulta,True
1279,/297/306/1279/,Pañales para Adultos,3,306.0,Cuidado Personal y Salud > Protección Adulta,Cuidado Personal y Salud > Protección Adulta > Pañales para Adultos,False
1280,/297/306/1280/,Ropa Interior para Adultos,3,306.0,Cuidado Personal y Salud > Protección Adulta,Cuidado Personal y Salud > Protección Adulta > Ropa Interior para Adultos,False
1281,/297/306/1281/,Protectores para Adultos,3,306.0,Cuidado Personal y Salud > Protección Adulta,Cuidado Personal y Salud > Protección Adulta > Protectores para Adultos,False
1282,/297/306/1282/,Complementos de Incontinencia,3,306.0,Cuidado Personal y Salud > Protección Adulta,Cuidado Personal y Salud > Protección Adulta > Complementos de Incontinencia,False
307,/297/307/,Bienestar Sexual,2,297.0,Cuidado Personal y Salud,Cuidado Personal y Salud > Bienestar Sexual,True
1284,/297/307/1284/,Preservativos y Otros,3,307.0,Cuidado Personal y Salud > Bienestar Sexual,Cuidado Personal y Salud > Bienestar Sexual > Preservativos y Otros,False
637,/297/637/,Packs de Regalo,2,297.0,Cuidado Personal y Salud,Cuidado Personal y Salud > Packs de Regalo,False
1441,/297/1441/,Vitaminas y Nutrición,2,297.0,Cuidado Personal y Salud,Cuidado Personal y Salud > Vitaminas y Nutrición,True
494,/297/1441/494/,Complementos y Suplementos,3,1441.0,Cuidado Personal y Salud > Vitaminas y Nutrición,Cuidado Personal y Salud > Vitaminas y Nutrición > Complementos y Suplementos,False
1246,/297/1441/1246/,Suplementos Deportivos,3,1441.0,Cuidado Personal y Salud > Vitaminas y Nutrición,Cuidado Personal y Salud > Vitaminas y Nutrición > Suplementos Deportivos,False
1659,/297/1441/1659/,Proteínas,3,1441.0,Cuidado Personal y Salud > Vitaminas y Nutrición,Cuidado Personal y Salud > Vitaminas y Nutrición > Proteínas,False
1660,/297/1441/1660/,Vitaminas,3,1441.0,Cuidado Personal y Salud > Vitaminas y Nutrición,Cuidado Personal y Salud > Vitaminas y Nutrición > Vitaminas,False
1629,/297/1629/,Salud,2,297.0,Cuidado Personal y Salud,Cuidado Personal y Salud > Salud,True
1257,/297/1629/1257/,Equipos Médicos,3,1629.0,Cuidado Personal y Salud > Salud,Cuidado Personal y Salud > Salud > Equipos Médicos,False
1283,/297/1629/1283/,Artículos de Botiquín,3,1629.0,Cuidado Personal y Salud > Salud,Cuidado Personal y Salud > Salud > Artículos de Botiquín,False
1655,/297/1629/1655/,Guantes Quirúrgicos,3,1629.0,Cuidado Personal y Salud > Salud,Cuidado Personal y Salud > Salud > Guantes Quirúrgicos,False
