POST  adobedc.demdex.net/ee/v1/interact | qkeys=['configId', 'requestId']
POST  analytics.google.com/g/collect | qkeys=['_eu', '_fv', '_gaz', '_nsi', '_p', '_prs', '_s', '_ss', 'ae', 'are', 'cid', 'dl', 'dma', 'dt', 'en', 'epn.percent_scrolled', 'frm', 'gaf', 'gcd', 'gtm', 'npa', 'pscdl', 'rcb', 'sct', 'seg', 'sid', 'sr', 'tag_exp', 'tfd', 'tid', 'uaa', 'uab', 'uafvl', 'uamb', 'uap', 'uaw', 'ul', 'v']
POST  googleads.g.doubleclick.net/pagead/viewthroughconversion/{id}/ | qkeys=['_tu', 'async', 'auid', 'bg', 'capi', 'category', 'cerd', 'crd', 'ct_cookie_present', 'cv', 'dma', 'ec_mode', 'eitems', 'em', 'en', 'fmt', 'frm', 'fsk', 'fst', 'gcd', 'gcl_ctr', 'gtm', 'guid', 'hn', 'label', 'npa', 'pscdl', 'pscrd', 'random', 'rcb', 'tag_exp', 'tiba', 'u_h', 'u_w', 'uaa', 'uab', 'uafvl', 'uamb', 'uap', 'uaw', 'url', 'value']
GET   securepubads.g.doubleclick.net/pagead/ppub_config | qkeys=['ippd']
POST  www.google.com/ccm/collect | qkeys=['ae', 'apvc', 'apve', 'apvf', 'auid', 'dl', 'dma', 'dt', 'en', 'ep.ads_data_redaction', 'frm', 'gcd', 'gtm', 'navt', 'npa', 'rcb', 'rnd', 'scrsrc', 'tag_exp', 'tfd', 'tft']
POST  www.google.com/measurement/conversion | qkeys=['_tu', 'ae', 'auid', 'cv', 'dma', 'en', 'fmt', 'frm', 'fst', 'gacid', 'gcd', 'gtm', 'npa', 'pscdl', 'random', 'rcb', 'tag_exp', 'tiba', 'tid', 'u_h', 'u_w', 'uaa', 'uab', 'uafvl', 'uamb', 'uap', 'uaw', 'url']
POST  www.google.com/rmkt/collect/{id}/ | qkeys=['async', 'auid', 'bg', 'cv', 'data', 'dma', 'en', 'fmt', 'frm', 'fst', 'gcd', 'gcp', 'gtm', 'guid', 'hn', 'npa', 'pscdl', 'random', 'rcb', 'tag_exp', 'tiba', 'u_h', 'u_w', 'uaa', 'uab', 'uafvl', 'uamb', 'uap', 'uaw', 'url']
GET   www.googleadservices.com/pagead/conversion/{id}/ | qkeys=['_tu', 'async', 'auid', 'bg', 'bttype', 'capi', 'category', 'cv', 'dma', 'ec_mode', 'em', 'en', 'fmt', 'frm', 'fst', 'gcd', 'gcl_ctr', 'gtm', 'guid', 'hn', 'label', 'npa', 'pscdl', 'random', 'rcb', 'tag_exp', 'tiba', 'u_h', 'u_w', 'uaa', 'uab', 'uafvl', 'uamb', 'uap', 'uaw', 'url', 'value']
GET   www.tottus.com.pe/s/analytics/v1/analytics | qkeys=[]
GET   www.tottus.com.pe/s/commerce-config/v1/FAPE/commerce-config/merged | qkeys=['namespace']
GET   www.tottus.com.pe/s/geo/v2/districts/pe | qkeys=['getAllZones', 'politicalId', 'store']
